id,title,source,category,raw_file,processed_file
41198075,State-of-the-art treatment of postpartum bipolar disorder.,pubmed,psychology,pubmed_postpartum_depression_management_1762891132.xml,41198075.json
41180037,"Psychological impact of first vs. repeated cesarean sections: A comparative study on postpartum depression, anxiety, and stress.",pubmed,psychology,pubmed_postpartum_depression_management_1762891132.xml,41180037.json
41179789,Development and validation of an interpretable machine learning model and online web-based calculator based on social-ecosystem theory for early prediction of postpartum depression: a longitudinal study.,pubmed,psychology,pubmed_postpartum_depression_management_1762891132.xml,41179789.json
41157239,Invisible Links: Associations Between Micronutrient Deficiencies and Postpartum Depression-A Systematic Review.,pubmed,nutrition,pubmed_postpartum_depression_management_1762891132.xml,41157239.json
41207563,"Physical activity during pregnancy and depression, anxiety and stress: randomized clinical trials.",pubmed,psychology,pubmed_prenatal_exercise_and_fetal_health_1762891106.xml,41207563.json
41205071,Prenatal attachment interventions: a comprehensive systematic review and meta-analysis.,pubmed,prenatal,pubmed_prenatal_exercise_and_fetal_health_1762891106.xml,41205071.json
41176224,Functional development of midbrain and pons during human gestation and electrophysiological markers for DS intervention.,pubmed,psychology,pubmed_prenatal_exercise_and_fetal_health_1762891106.xml,41176224.json
41176183,Effects of Qigong for Physical and Psychological Well-Being in Pregnancy: A Multicenter Randomized Controlled Trial.,pubmed,psychology,pubmed_prenatal_exercise_and_fetal_health_1762891106.xml,41176183.json
41153390,Physical Activity During Pregnancy and Gestational Weight Gain: Implications for Maternal-Fetal Epigenetic Programming and Long-Term Health.,pubmed,prenatal,pubmed_prenatal_exercise_and_fetal_health_1762891106.xml,41153390.json
10.4018/979-8-3693-1718-1.ch005,Wearable Sensors and AI Algorithms for Monitoring Maternal Health,crossref,postnatal,crossref_AI_in_maternal_health_monitoring_1763068948.json,10.4018_979-8-3693-1718-1.ch005.json
10.4324/9781003595717-5,Transforming Maternal Health Advocacy with AI,crossref,general_maternal_health,crossref_AI_in_maternal_health_monitoring_1763068948.json,10.4324_9781003595717-5.json
10.1109/icaeca63854.2025.11012457,AI Powered Monitoring and Risk Prediction for Maternal Health to Ensure Fetal Well-Being,crossref,prenatal,crossref_AI_in_maternal_health_monitoring_1763068948.json,10.1109_icaeca63854.2025.11012457.json
10.1017/cbo9780511527036.006,Control of the menstrual cycle and fertility,crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1762891036.json,10.1017_cbo9780511527036.006.json
10.1159/000388895,Exfoliative Cytology in Normal Menstrual Cycle and Fertility Disturbances,crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1762891036.json,10.1159_000388895.json
10.3109/0167482x.2015.1026892,"Adverse childhood event experiences, fertility difficulties and menstrual cycle characteristics",crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1762891036.json,10.3109_0167482x.2015.1026892.json
10.34293/icetcs2024.ch003,Comparative Analysis of Menstrual Cycle Prediction Algorithms in Mobile Menstrual Tracker Apps,crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1762891036.json,10.34293_icetcs2024.ch003.json
10.1016/j.evolhumbehav.2016.03.003,Other women’s fertility moderates female resource distribution across the menstrual cycle,crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1762891036.json,10.1016_j.evolhumbehav.2016.03.003.json
10.1017/cbo9780511527036.006,Control of the menstrual cycle and fertility,crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1763068718.json,10.1017_cbo9780511527036.006.json
10.1159/000388895,Exfoliative Cytology in Normal Menstrual Cycle and Fertility Disturbances,crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1763068718.json,10.1159_000388895.json
10.3109/0167482x.2015.1026892,"Adverse childhood event experiences, fertility difficulties and menstrual cycle characteristics",crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1763068718.json,10.3109_0167482x.2015.1026892.json
10.34293/icetcs2024.ch003,Comparative Analysis of Menstrual Cycle Prediction Algorithms in Mobile Menstrual Tracker Apps,crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1763068718.json,10.34293_icetcs2024.ch003.json
10.1016/j.evolhumbehav.2016.03.003,Other women’s fertility moderates female resource distribution across the menstrual cycle,crossref,fertility,crossref_fertility_and_menstrual_cycle_prediction_1763068718.json,10.1016_j.evolhumbehav.2016.03.003.json
10.31525/ct1-nct04028089,Prevention of Gestational Diabetes,crossref,prenatal,crossref_gestational_diabetes_prevention_1762891059.json,10.31525_ct1-nct04028089.json
10.2337/dc09-2336,Prevention of Gestational Diabetes,crossref,prenatal,crossref_gestational_diabetes_prevention_1762891059.json,10.2337_dc09-2336.json
10.23946/2500-0764-2023-8-3-116-123,Prevention of gestational diabetes mellitus,crossref,nutrition,crossref_gestational_diabetes_prevention_1762891059.json,10.23946_2500-0764-2023-8-3-116-123.json
10.4172/2155-6156.1000286,The Prevention of Gestational Diabetes,crossref,prenatal,crossref_gestational_diabetes_prevention_1762891059.json,10.4172_2155-6156.1000286.json
10.2337/diaspect.19.3.135,Gestational Diabetes Education and Diabetes Prevention Strategies,crossref,prenatal,crossref_gestational_diabetes_prevention_1762891059.json,10.2337_diaspect.19.3.135.json
10.2337/dc09-2336,Prevention of Gestational Diabetes,crossref,prenatal,crossref_gestational_diabetes_prevention_1763068733.json,10.2337_dc09-2336.json
10.31525/ct1-nct04028089,Prevention of Gestational Diabetes,crossref,prenatal,crossref_gestational_diabetes_prevention_1763068733.json,10.31525_ct1-nct04028089.json
10.23946/2500-0764-2023-8-3-116-123,Prevention of gestational diabetes mellitus,crossref,nutrition,crossref_gestational_diabetes_prevention_1763068733.json,10.23946_2500-0764-2023-8-3-116-123.json
10.4172/2155-6156.1000286,The Prevention of Gestational Diabetes,crossref,prenatal,crossref_gestational_diabetes_prevention_1763068733.json,10.4172_2155-6156.1000286.json
10.2337/diaspect.19.3.135,Gestational Diabetes Education and Diabetes Prevention Strategies,crossref,prenatal,crossref_gestational_diabetes_prevention_1763068733.json,10.2337_diaspect.19.3.135.json
10.4159/harvard.9780674592827.c10,MATERNAL NUTRITION DURING PREGNANCY,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1762891003.json,10.4159_harvard.9780674592827.c10.json
10.5005/jp/books/10513_6,Maternal Nutrition during Pregnancy and Lactation,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1762891003.json,10.5005_jp_books_10513_6.json
10.1001/archpedi.1982.03970370086032,Maternal Nutrition During Pregnancy and Lactation,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1762891003.json,10.1001_archpedi.1982.03970370086032.json
10.1159/000113172,Maternal Nutrition Before and During Pregnancy,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1762891003.json,10.1159_000113172.json
10.3109/01443615.2010.505146,Maternal-Fetal Nutrition during Pregnancy and Lactation,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1762891003.json,10.3109_01443615.2010.505146.json
10.4159/harvard.9780674592827.c10,MATERNAL NUTRITION DURING PREGNANCY,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1763068700.json,10.4159_harvard.9780674592827.c10.json
10.5005/jp/books/10513_6,Maternal Nutrition during Pregnancy and Lactation,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1763068700.json,10.5005_jp_books_10513_6.json
10.1001/archpedi.1982.03970370086032,Maternal Nutrition During Pregnancy and Lactation,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1763068700.json,10.1001_archpedi.1982.03970370086032.json
10.1159/000113172,Maternal Nutrition Before and During Pregnancy,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1763068700.json,10.1159_000113172.json
10.3109/01443615.2010.505146,Maternal-Fetal Nutrition during Pregnancy and Lactation,crossref,nutrition,crossref_maternal_nutrition_during_pregnancy_1763068700.json,10.3109_01443615.2010.505146.json
10.1111/jmwh.12104,Management of Postpartum Depression,crossref,psychology,crossref_postpartum_depression_management_1763068863.json,10.1111_jmwh.12104.json
10.25259/jch_54_2024,Postpartum Depression: Overview and Management,crossref,psychology,crossref_postpartum_depression_management_1763068863.json,10.25259_jch_54_2024.json
10.1097/01.ebp.0000540546.39761.51,Postpartum depression screening and management,crossref,psychology,crossref_postpartum_depression_management_1763068863.json,10.1097_01.ebp.0000540546.39761.51.json
10.26502/jppd.2572-519x0182,Diagnosis and Management of Postpartum Depression,crossref,psychology,crossref_postpartum_depression_management_1763068863.json,10.26502_jppd.2572-519x0182.json
10.33545/26164485.2022.v6.i3a.588,Postpartum Depression and its Homoeopathic Management,crossref,psychology,crossref_postpartum_depression_management_1763068863.json,10.33545_26164485.2022.v6.i3a.588.json
10.1002/14651858.cd000183,Folate supplementation in pregnancy,crossref,general_maternal_health,crossref_pregnancy_vtamin_supplementation_1763068878.json,10.1002_14651858.cd000183.json
10.1002/14651858.cd000117,Iron supplementation in pregnancy,crossref,general_maternal_health,crossref_pregnancy_vtamin_supplementation_1763068878.json,10.1002_14651858.cd000117.json
10.1016/s0140-6736(05)67807-5,Micronutrient supplementation in pregnancy,crossref,general_maternal_health,crossref_pregnancy_vtamin_supplementation_1763068878.json,10.1016_s0140-6736(05)67807-5.json
10.1111/j.1744-4667.2012.00116.x,Vitamin supplementation in pregnancy,crossref,nutrition,crossref_pregnancy_vtamin_supplementation_1763068878.json,10.1111_j.1744-4667.2012.00116.x.json
10.1002/14651858.cd000117.pub2,Iron supplementation in pregnancy,crossref,general_maternal_health,crossref_pregnancy_vtamin_supplementation_1763068878.json,10.1002_14651858.cd000117.pub2.json
10.1096/fasebj.29.1_supplement.1055.28,Influence of Prenatal Exercise on Fetal/Infant Health,crossref,psychology,crossref_prenatal_exercise_and_fetal_health_1762891109.json,10.1096_fasebj.29.1_supplement.1055.28.json
10.1007/978-1-4614-3408-5,Physiology of Prenatal Exercise and Fetal Development,crossref,prenatal,crossref_prenatal_exercise_and_fetal_health_1762891109.json,10.1007_978-1-4614-3408-5.json
10.1007/s10995-020-03000-7,Influence of Prenatal Aerobic Exercise on Fetal Morphometry,crossref,prenatal,crossref_prenatal_exercise_and_fetal_health_1762891109.json,10.1007_s10995-020-03000-7.json
10.1111/febs.16173,Prenatal exercise in fetal development: a placental perspective,crossref,prenatal,crossref_prenatal_exercise_and_fetal_health_1762891109.json,10.1111_febs.16173.json
10.1519/1533-4287(1989)003<0093:srmafr>2.3.co;2,Short Review: Maternal and Fetal Responses to Prenatal Exercise,crossref,prenatal,crossref_prenatal_exercise_and_fetal_health_1762891109.json,10.1519_1533-4287(1989)003_0093_srmafr_2.3.co_2.json
10.1097/01.pgo.0000334543.11435.f7,Fetal Health Assessment Using Prenatal Diagnostic Techniques,crossref,prenatal,crossref_prenatal_exercrise_and_fetal_health_1763068807.json,10.1097_01.pgo.0000334543.11435.f7.json
10.1097/gco.0b013e3282f73242,Fetal health assessment using prenatal diagnostic techniques,crossref,prenatal,crossref_prenatal_exercrise_and_fetal_health_1763068807.json,10.1097_gco.0b013e3282f73242.json
10.1097/01.pgo.0000334542.03811.63,Fetal Health Assessment Using Prenatal Diagnostic Techniques,crossref,prenatal,crossref_prenatal_exercrise_and_fetal_health_1763068807.json,10.1097_01.pgo.0000334542.03811.63.json
10.1096/fasebj.29.1_supplement.1055.28,Influence of Prenatal Exercise on Fetal/Infant Health,crossref,psychology,crossref_prenatal_exercrise_and_fetal_health_1763068807.json,10.1096_fasebj.29.1_supplement.1055.28.json
10.1007/978-1-4614-0604-4_20,Prenatal Maternal-Fetal Imaging for Global Health Radiology,crossref,prenatal,crossref_prenatal_exercrise_and_fetal_health_1763068807.json,10.1007_978-1-4614-0604-4_20.json
41181471,AI-driven placental biomarkers: a new era for preeclampsia prediction.,pubmed,general_maternal_health,pubmed_AI_in_maternal_health_monitoring_1763068945.xml,41181471.json
41150432,Advancing Inequality Monitoring in Immunization: Reflecting on 10 Years of WHO Contributions.,pubmed,general_maternal_health,pubmed_AI_in_maternal_health_monitoring_1763068945.xml,41150432.json
41157380,Accuracy of an Overnight Axillary-Temperature Sensor for Ovulation Detection: Validation in 194 Cycles.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1762891033.xml,41157380.json
41139058,Retrospective evaluation of the use of non-human primates for fertility assessment of pharmaceuticals submitted for marketing approval in the EU.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1762891033.xml,41139058.json
41085255,Effectiveness of menstruation and fertility tracking technology in childbearing women: a scoping review.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1762891033.xml,41085255.json
40935278,Evaluating the feasibility of hyperspectral endometrial analysis as a less invasive technique for endometrial evaluation: a pilot study.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1762891033.xml,40935278.json
40763349,Digitally Enabled AI-Interpreted Salivary Ferning-Based Ovulation Prediction: Feasibility Study.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1762891033.xml,40763349.json
41157380,Accuracy of an Overnight Axillary-Temperature Sensor for Ovulation Detection: Validation in 194 Cycles.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1763068715.xml,41157380.json
41139058,Retrospective evaluation of the use of non-human primates for fertility assessment of pharmaceuticals submitted for marketing approval in the EU.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1763068715.xml,41139058.json
41085255,Effectiveness of menstruation and fertility tracking technology in childbearing women: a scoping review.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1763068715.xml,41085255.json
40935278,Evaluating the feasibility of hyperspectral endometrial analysis as a less invasive technique for endometrial evaluation: a pilot study.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1763068715.xml,40935278.json
40763349,Digitally Enabled AI-Interpreted Salivary Ferning-Based Ovulation Prediction: Feasibility Study.,pubmed,fertility,pubmed_fertility_and_menstrual_cycle_prediction_1763068715.xml,40763349.json
41214136,Proteomic changes induced by acute exercise and high-intensity interval training during pregnancy: a pilot randomised controlled trial.,pubmed,prenatal,pubmed_gestational_diabetes_prevention_1762891057.xml,41214136.json
41213838,Prevalence of Large-for-Gestational Age and Macrosomia Among Livebirths in 23 Low- and Middle-Income Countries Between 2000 and 2021: An Individual Participant Data Analysis.,pubmed,prenatal,pubmed_gestational_diabetes_prevention_1762891057.xml,41213838.json
41213790,Effect of low-dose aspirin in women with pregestational diabetes mellitus: A propensity score matching study.,pubmed,prenatal,pubmed_gestational_diabetes_prevention_1762891057.xml,41213790.json
41213472,Causal relationship between multiple modifiable risk factors and gestational diabetes mellitus: a two-sample Mendelian randomization study.,pubmed,nutrition,pubmed_gestational_diabetes_prevention_1762891057.xml,41213472.json
41208570,Five years liraglutide treatment improves glucose tolerance in women with previous gestational diabetes mellitus-Results from a randomised controlled trial.,pubmed,prenatal,pubmed_gestational_diabetes_prevention_1762891057.xml,41208570.json
41230537,MAP6D1 Silencing alleviates high glucose-induced injury of trophoblast cells during gestational diabetes mellitus.,pubmed,psychology,pubmed_gestational_diabetes_prevention_1763068731.xml,41230537.json
41230535,Alcohol consumption during pregnancy in Scotland following public health interventions: population-based study.,pubmed,prenatal,pubmed_gestational_diabetes_prevention_1763068731.xml,41230535.json
41229170,Dual-center prospective validation of an early second-trimester predictive model integrating BMI trajectories and pathophysiological biomarkers for gestational diabetes risk stratification.,pubmed,prenatal,pubmed_gestational_diabetes_prevention_1763068731.xml,41229170.json
41228473,"Prediction of Gestational Diabetes Mellitus: A Nomogram Model Incorporating Lifestyle, Nutrition and Health Literacy Factors.",pubmed,nutrition,pubmed_gestational_diabetes_prevention_1763068731.xml,41228473.json
41228433,Type 2 Diabetes Risk Perception and Health Behaviors Among Women with History of Gestational Diabetes Mellitus: A Retrospective Analysis.,pubmed,prenatal,pubmed_gestational_diabetes_prevention_1763068731.xml,41228433.json
41217026,"The early implementation phase of the Omega-3 Test-and-Treat Program for reducing the risk of preterm birth, South Australia, 2021-22: an implementation evaluation study.",pubmed,nutrition,pubmed_maternal_nutrition_during_pregnancy_1762890998.xml,41217026.json
41216435,The influence of early nutrition intake and clinical factors on the brain development of preterm infants with intrauterine growth restriction.,pubmed,nutrition,pubmed_maternal_nutrition_during_pregnancy_1762890998.xml,41216435.json
41216352,Association between high-dose calcium supplementation during pregnancy and risk of placental disorders and low birth weight in Iranian women.,pubmed,prenatal,pubmed_maternal_nutrition_during_pregnancy_1762890998.xml,41216352.json
41213787,Updating the impact of mRNA COVID-19 vaccine exposure during pregnancy on obstetric and neonatal outcomes.,pubmed,psychology,pubmed_maternal_nutrition_during_pregnancy_1762890998.xml,41213787.json
41211022,"The effect of midwifery-led continuum of care to improve maternal and newborn outcomes in the Sidama region, Ethiopia: A non-randomized control trial study.",pubmed,postnatal,pubmed_maternal_nutrition_during_pregnancy_1762890998.xml,41211022.json
41228559,A Scoping Review on Nutrition Knowledge and Nutrition Literacy Among Pregnant Women and the Prevalence of Pregnancy Complications and Adverse Pregnancy Outcomes.,pubmed,nutrition,pubmed_maternal_nutrition_during_pregnancy_1763068698.xml,41228559.json
41228473,"Prediction of Gestational Diabetes Mellitus: A Nomogram Model Incorporating Lifestyle, Nutrition and Health Literacy Factors.",pubmed,nutrition,pubmed_maternal_nutrition_during_pregnancy_1763068698.xml,41228473.json
41228470,The Impact of Dietary Nutrient Intake on Red Blood Cell Distribution Width-Coefficient of Variation in Pregnant Women: A Cross-Sectional Observational Pilot Study.,pubmed,nutrition,pubmed_maternal_nutrition_during_pregnancy_1763068698.xml,41228470.json
41228465,Maternal and Infant Determinants of Zinc Status and Zinc's Association with Anthropometry in 3-Month-Old Bangladeshi Infants.,pubmed,nutrition,pubmed_maternal_nutrition_during_pregnancy_1763068698.xml,41228465.json
41200219,Effectiveness of family support-based companion video sharing to improve depression in perinatal maternity: a randomized controlled trial study protocol.,pubmed,psychology,pubmed_postpartum_depression_management_1762891132.xml,41200219.json
41198075,State-of-the-art treatment of postpartum bipolar disorder.,pubmed,psychology,pubmed_postpartum_depression_management_1762891132.xml,41198075.json
41180037,"Psychological impact of first vs. repeated cesarean sections: A comparative study on postpartum depression, anxiety, and stress.",pubmed,psychology,pubmed_postpartum_depression_management_1762891132.xml,41180037.json
41179789,Development and validation of an interpretable machine learning model and online web-based calculator based on social-ecosystem theory for early prediction of postpartum depression: a longitudinal study.,pubmed,psychology,pubmed_postpartum_depression_management_1762891132.xml,41179789.json
41157239,Invisible Links: Associations Between Micronutrient Deficiencies and Postpartum Depression-A Systematic Review.,pubmed,nutrition,pubmed_postpartum_depression_management_1762891132.xml,41157239.json
41229355,Recognizing disability associated with perinatal depression as a precursor of women's rights violations under the UN Convention on the Rights of Persons with Disabilities.,pubmed,psychology,pubmed_postpartum_depression_management_1763068861.xml,41229355.json
41200219,Effectiveness of family support-based companion video sharing to improve depression in perinatal maternity: a randomized controlled trial study protocol.,pubmed,psychology,pubmed_postpartum_depression_management_1763068861.xml,41200219.json
41198075,State-of-the-art treatment of postpartum bipolar disorder.,pubmed,psychology,pubmed_postpartum_depression_management_1763068861.xml,41198075.json
41180037,"Psychological impact of first vs. repeated cesarean sections: A comparative study on postpartum depression, anxiety, and stress.",pubmed,psychology,pubmed_postpartum_depression_management_1763068861.xml,41180037.json
41179789,Development and validation of an interpretable machine learning model and online web-based calculator based on social-ecosystem theory for early prediction of postpartum depression: a longitudinal study.,pubmed,psychology,pubmed_postpartum_depression_management_1763068861.xml,41179789.json
41207563,"Physical activity during pregnancy and depression, anxiety and stress: randomized clinical trials.",pubmed,psychology,pubmed_prenatal_exercise_and_fetal_health_1762891106.xml,41207563.json
41205071,Prenatal attachment interventions: a comprehensive systematic review and meta-analysis.,pubmed,prenatal,pubmed_prenatal_exercise_and_fetal_health_1762891106.xml,41205071.json
41176224,Functional development of midbrain and pons during human gestation and electrophysiological markers for DS intervention.,pubmed,psychology,pubmed_prenatal_exercise_and_fetal_health_1762891106.xml,41176224.json
41176183,Effects of Qigong for Physical and Psychological Well-Being in Pregnancy: A Multicenter Randomized Controlled Trial.,pubmed,psychology,pubmed_prenatal_exercise_and_fetal_health_1762891106.xml,41176183.json
41153390,Physical Activity During Pregnancy and Gestational Weight Gain: Implications for Maternal-Fetal Epigenetic Programming and Long-Term Health.,pubmed,prenatal,pubmed_prenatal_exercise_and_fetal_health_1762891106.xml,41153390.json
41226855,Placental Thickness Correlates with Severity-Weighted Fetal Dysfunction in the Third Trimester.,pubmed,prenatal,pubmed_prenatal_exercrise_and_fetal_health_1763068804.xml,41226855.json
41226805,Gestational Diabetes Exposed Mesenchymal Stem Cells: Phenotypic Differences Link to Long-Term Health of Offspring.,pubmed,prenatal,pubmed_prenatal_exercrise_and_fetal_health_1763068804.xml,41226805.json
41225654,Atypical presentations of fetal polycystic kidney disease demonstrates the utility of a genomic autopsy for accurate post-mortem diagnoses.,pubmed,fertility,pubmed_prenatal_exercrise_and_fetal_health_1763068804.xml,41225654.json
